Method, Sample size, Current Sample, Valid configs, Defective configs, Visit configs, Evaluated configs, Time (s)
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 155, 154, 154, 37191, 2946, 2.0184876918792725, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 156, 155, 155, 37488, 2974, 2.351804494857788, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 157, 156, 156, 37763, 3007, 2.052250385284424, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 158, 157, 157, 38071, 3038, 2.4624648094177246, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 159, 158, 158, 38368, 3059, 1.973313570022583, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 160, 159, 159, 38566, 3067, 1.1469314098358154, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 161, 160, 160, 38753, 3075, 1.3200342655181885, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 162, 161, 161, 38951, 3081, 1.5596923828125, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 163, 162, 162, 39226, 3090, 1.949120044708252, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 164, 163, 163, 39435, 3091, 1.3474245071411133, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 165, 164, 164, 39721, 3108, 2.0241639614105225, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 166, 165, 165, 39996, 3114, 1.6825900077819824, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 167, 166, 166, 40183, 3119, 1.5709547996520996, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 168, 167, 167, 40381, 3127, 1.6716053485870361, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 169, 167, 167, 40689, 3142, 2.5561001300811768, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 170, 168, 168, 40942, 3165, 1.1874876022338867, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 171, 169, 169, 41239, 3173, 2.080610990524292, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 172, 170, 170, 41536, 3180, 2.0612781047821045, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 173, 171, 171, 41690, 3186, 1.0183889865875244, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 174, 172, 172, 41888, 3190, 1.2237308025360107, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 175, 173, 173, 42163, 3203, 1.9217536449432373, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 176, 174, 174, 42449, 3235, 2.2061312198638916, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 177, 174, 174, 42746, 3240, 1.8275816440582275, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 178, 175, 175, 43021, 3274, 2.436655044555664, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 179, 176, 176, 43296, 3275, 1.8492457866668701, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 180, 177, 177, 43549, 3291, 1.7369208335876465, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 181, 178, 178, 43846, 3325, 2.69990611076355, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 182, 179, 179, 44132, 3331, 1.7025434970855713, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 183, 180, 180, 44341, 3335, 1.494999885559082, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 184, 181, 181, 44528, 3338, 1.1774160861968994, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 185, 182, 182, 44715, 3342, 1.4257478713989258, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 186, 183, 183, 44979, 3375, 2.4339632987976074, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 187, 184, 184, 45221, 3396, 1.6119859218597412, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 188, 185, 185, 45408, 3406, 1.5369195938110352, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 189, 186, 186, 45606, 3416, 1.4881536960601807, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 190, 187, 187, 45903, 3461, 2.037142753601074, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 191, 188, 188, 46189, 3476, 1.7066216468811035, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 192, 189, 189, 46442, 3549, 2.357337236404419, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 193, 189, 189, 46750, 3559, 1.9902393817901611, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 194, 189, 189, 46970, 3562, 1.3868861198425293, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 195, 190, 190, 47256, 3567, 2.4534385204315186, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 196, 191, 191, 47531, 3606, 1.8191635608673096, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 197, 192, 192, 47773, 3609, 1.528048038482666, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 198, 193, 193, 48026, 3622, 1.4781458377838135, 
